九方
九百
万俟
三州
三飯
三閭
上官
乞伏
兀官
千代
千乘
士季
士貞
士孫
士弱
子人
子言
子車
子叔
子服
子家
子桑
子陽
丑門
中央
中行
中長
中英
中梁
中野
中壘
五鹿
仉督
公上
公山
公戶
公玉
公仲
公羊
公西
公伯
公冶
公良
公罔
公乘
公孫
公祖
公堅
公族
公梁
公晰
公儀
公輸
公斂
太史
太叔
太陽
夫蒙
夫餘
少正
少叔
少室
少施
少師
尹文
屯渾
方雷
木易
木門
水丘
王人
王官
王孫
王黃
王劉
丘陵
丘麗
主父
令狐
北山
北辰
北門
北唐
北宮
北堂
北郭
古口
古孫
古賴
古龍
可汗
叱盧
右師
司士
司空
司城
司徒
司馬
司寇
司鴻
左人
左丘
左行
左師
巨母
平陵
平寧
正令
瓜田
由吾
申徒
申屠
白馬
石作
仲長
仲孫
伊祁
伊耆
吉白
同蹄
吐火
吐缶
吐缶
吐和
吐奚
吐渾
吐賀
吐萬
吐羅
吐難
因孫
地倫
地連
夙沙
多子
宇文
安平
安是
安陵
安期
安陽
成公
成功
成陽
朱陽
汝嫣
池張
甪里
百里
羊角
老陽
西乞
西方
西周
西門
西宮
西郭
西野
西陵
西鄉
西鑰
伶舟
似和
佐南
冷淪
即墨
吳劉
吾丘
完_
尾勺
巫馬
巫許
沈猶
禿發
罕井
豆盧
車非
辛垣
邑由
京城
侍其
侍其
函治
叔先
叔促
叔孫
周氏
周生
周陽
呼延
呼衍
奇介
奔水
姑布
孟玄
季瓜
季孫
季連
宗正
宗伯
宗政
尚方
屈引
屈同
屈男
屈門
屈侯
屈突
屈盧
庚桑
延陵
拓跋
拓撥
於陵
昆吾
昌頓
東丹
東方
東里
東門
東南
東宮
東郭
東野
東陵
東萊
東鄉
東陽
東閭
東關
武安
沓盧
沮渠
盂丘
社北
社南
祁連
空相
空桐
罔法
花裳
金齒
長兒
長孫
長魚
青陽
侯岡
信平
信都
南門
南宮
南郭
南榮
南離
姜勻
宣于
宥連
封人
封父
屋戶
昨和
柏侯
柳下
段干
皇父
皇甫
盆成
相_
穿封
紇於
紇奚
紇骨
耶律
胡毋
胡母
胡林
胡非
范姜
茄_
茅夷
乘馬
修魚
哥舒
唐山
夏侯
孫陽
宮孫
宰父
容成
徐吾
徐離
徐藤
息夫
晉楚
桑丘
浦思
浩生
浩星
浮丘
涇陽
皋落
真鄂
破醜
納蘭
素和
索陽
索盧
荔菲
軒丘
軒轅
逄門
馬矢
馬師
高車
高辛
高堂
高陵
高陽
鬥於
勘阻
商瞿
執頭
堂溪
密茅
密革
尉遲
屠岸
常濤
斛律
曹丘
曹牟
梁丘
梁由
梁垣
梁餘
梗陽
淄丘
淡台
淳于
猗盧
章仇
第五
終葵
終黎
統奚
脫脫
都尉
陳一
陵陽
陶丘
陸費
麥丘
麥盧
傅餘
勝屠
單于
壺丘
尊盧
彭祖
渴侯
渴單
游水
湛盧
無庸
無鉤
答祿
賀陳
賀撥
賀樓
賀蘭
黑肱
黑齒
勤宿
塗欽
幹已
微生
新垣
溫孤
溫稽
瑕呂
睢鳩
祿閣
義渠
萬俊
葉陽
虞丘
解枇
訾辱
逼陽
運期
運龍
達步
達勃
達奚
鉛陵
雍門
僕固
漆雕
爾朱
端木
綦毋
綦母
綦連
綺_
聞人
臧孫
蓋樓
賓牟
赫連
銀齒
墨台
墨夷
慕容
樂正
樂羊
樂羊
樗里
歐侯
歐陽
穀梁
穀渾
蔣丘
諸葛
鄧陵
閭丘
魯步
澹臺
獨孤
盧妃
盧蒲
閼氏
鮑俎
龍丘
龍藤
彌牟
戲陽
濮陽
薄奚
薄野
謝丘
輾遲
霞露
韓餘
鮭陽
鮮于
鮮陽
鮮虞
擾龍
歸海
薩孤
豐將
顓孫
顓頊
櫟陽
譚劉
關龍
壤駟
鐘吾
鐘離
鹹丘
